
         540712248 function calls (540708138 primitive calls) in 379.315 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      542    0.002    0.000    0.004    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:324(getitem_block)
      519    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:1232(name)
      475    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:248(flags)
      453    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:456(_get_axis_number)
      449    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/arrays/datetimes.py:290(_simple_new)
      438    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      434    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/base.py:245(__set__)
      424    0.001    0.000    0.004    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:206(shape)
      421    0.000    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:4070(_values)
      416    0.000    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/construction.py:354(extract_array)
      414    0.001    0.000    0.003    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/worksheet/header_footer.py:93(__init__)
  409/245    0.002    0.000    0.003    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/serialisable.py:204(__hash__)
      407    0.001    0.000    0.006    0.000 {method 'any' of 'numpy.ndarray' objects}
      405    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/cell_style.py:29(__set__)
      404    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
      402    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:355(is_datetime64_dtype)
      398    0.021    0.000    0.023    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:5467(__setattr__)
      396    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/base.py:126(__set__)
      390    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/arrays/_mixins.py:103(shape)
      382    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/base.py:140(__set__)
      380    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:1762(<genexpr>)
      376    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:320(<genexpr>)
  370/282    0.313    0.001    0.343    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
      368    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/arrays/datetimes.py:2251(validate_tz_from_dtype)
